date;state;country;confirmed;confirmed_filtered;confirmed_DR;confirmed_filtered_DR
2020-01-22;Alberta;Canada;0.0;0.0;;
2020-01-22;no;Korea, South;1.0;0.7999999999999997;;
2020-01-22;no;Kosovo;0.0;0.0;;
2020-01-22;no;Kuwait;0.0;0.0;;
2020-01-22;no;Kyrgyzstan;0.0;0.0;;
2020-01-22;no;Laos;0.0;0.0;;
2020-01-22;no;Latvia;0.0;0.0;;
2020-01-22;no;Lebanon;0.0;0.0;;
2020-01-22;no;Lesotho;0.0;0.0;;
2020-01-22;no;Liberia;0.0;0.0;;
2020-01-22;no;Libya;0.0;0.0;;
2020-01-22;no;Liechtenstein;0.0;0.0;;
2020-01-22;no;Lithuania;0.0;0.0;;
2020-01-22;no;Luxembourg;0.0;0.0;;
2020-01-22;no;MS Zaandam;0.0;0.0;;
2020-01-22;no;Madagascar;0.0;0.0;;
2020-01-22;no;Malawi;0.0;0.0;;
2020-01-22;no;Malaysia;0.0;-0.7999999999999988;;
2020-01-22;no;Maldives;0.0;0.0;;
2020-01-22;no;Mali;0.0;0.0;;
2020-01-22;no;Malta;0.0;0.0;;
2020-01-22;no;Mauritania;0.0;0.0;;
2020-01-22;no;Mauritius;0.0;0.0;;
2020-01-22;no;Mexico;0.0;0.0;;
2020-01-22;no;Moldova;0.0;0.0;;
2020-01-22;no;Monaco;0.0;0.0;;
2020-01-22;no;Mongolia;0.0;0.0;;
2020-01-22;no;Montenegro;0.0;0.0;;
2020-01-22;no;Morocco;0.0;0.0;;
2020-01-22;no;Mozambique;0.0;0.0;;
2020-01-22;no;Kenya;0.0;0.0;;
2020-01-22;no;Kazakhstan;0.0;0.0;;
2020-01-22;no;Jordan;0.0;0.0;;
2020-01-22;no;Japan;2.0;1.5999999999999996;;
2020-01-22;no;Estonia;0.0;0.0;;
2020-01-22;no;Eswatini;0.0;0.0;;
2020-01-22;no;Ethiopia;0.0;0.0;;
2020-01-22;no;Fiji;0.0;0.0;;
2020-01-22;no;Finland;0.0;0.0;;
2020-01-22;no;France;0.0;-0.19999999999999962;;
2020-01-22;no;Gabon;0.0;0.0;;
2020-01-22;no;Gambia;0.0;0.0;;
2020-01-22;no;Georgia;0.0;0.0;;
2020-01-22;no;Germany;0.0;0.0;;
2020-01-22;no;Ghana;0.0;0.0;;
2020-01-22;no;Greece;0.0;0.0;;
2020-01-22;no;Grenada;0.0;0.0;;
2020-01-22;no;Guatemala;0.0;0.0;;
2020-01-22;no;Nepal;0.0;-0.19999999999999965;;
2020-01-22;no;Guinea;0.0;0.0;;
2020-01-22;no;Guyana;0.0;0.0;;
2020-01-22;no;Haiti;0.0;0.0;;
2020-01-22;no;Holy See;0.0;0.0;;
2020-01-22;no;Honduras;0.0;0.0;;
2020-01-22;no;Hungary;0.0;0.0;;
2020-01-22;no;Iceland;0.0;0.0;;
2020-01-22;no;India;0.0;0.0;;
2020-01-22;no;Indonesia;0.0;0.0;;
2020-01-22;no;Iran;0.0;0.0;;
2020-01-22;no;Iraq;0.0;0.0;;
2020-01-22;no;Ireland;0.0;0.0;;
2020-01-22;no;Israel;0.0;0.0;;
2020-01-22;no;Italy;0.0;0.0;;
2020-01-22;no;Jamaica;0.0;0.0;;
2020-01-22;no;Guinea-Bissau;0.0;0.0;;
2020-01-22;no;Eritrea;0.0;0.0;;
